timestamp_cst,station_id,air_temperature_c,quality_flag
2027-02-01 14:00,KINNICK-AP,-10.8,OK
2027-02-02 14:00,KINNICK-AP,-8.6,OK
2027-02-03 14:00,KINNICK-AP,-8.3,OK
2027-02-04 14:00,KINNICK-AP,-7.8,OK
2027-02-05 14:00,KINNICK-AP,-8.5,OK
2027-02-06 14:00,KINNICK-AP,-9.6,OK
2027-02-07 14:00,KINNICK-AP,-8.7,OK
2027-02-08 14:00,KINNICK-AP,-9.4,OK
2027-02-09 14:00,KINNICK-AP,-8.0,OK
2027-02-10 14:00,KINNICK-AP,-5.5,OK
2027-02-11 14:00,KINNICK-AP,-3.5,OK
2027-02-12 14:00,KINNICK-AP,-0.6,OK
2027-02-13 14:00,KINNICK-AP,-2.3,OK
2027-02-14 14:00,KINNICK-AP,-0.7,OK
2027-02-15 14:00,KINNICK-AP,-3.8,OK
2027-02-16 14:00,KINNICK-AP,-2.1,OK
2027-02-17 14:00,KINNICK-AP,-2.7,OK
2027-02-18 14:00,KINNICK-AP,-1.5,OK
2027-02-19 14:00,KINNICK-AP,1.2,OK
2027-02-20 14:00,KINNICK-AP,3.4,OK
2027-02-21 14:00,KINNICK-AP,4.9,OK
2027-02-22 14:00,KINNICK-AP,5.8,OK
2027-02-23 14:00,KINNICK-AP,3.9,OK
2027-02-24 14:00,KINNICK-AP,2.6,OK
2027-02-25 14:00,KINNICK-AP,2.8,OK
