ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Algebra Fundamentals,,FOUND
2,Units and Dimensional Analysis,,FOUND
3,Significant Figures,,FOUND
4,Ratios and Percentages,,FOUND
5,Reading Plots and Graphs,,FOUND
6,Static Equilibrium,,FOUND
7,Stress and Strain Basics,,FOUND
8,Beam Bending Basics,,FOUND
9,Spreadsheet Basics,,FOUND
10,Tables and CSV Files,,FOUND
11,Using a Chat Assistant,,FOUND
12,Engineering Codes and Standards,,FOUND
13,Artificial Intelligence,11,AIF
14,Rule-Based Systems,1,AIF
15,Machine Learning,13,AIF
16,Training Data,15,AIF
17,Learned Patterns,15|16,AIF
18,Model Inputs and Outputs,15,AIF
19,Rules Versus Learned Patterns,14|17,AIF
20,Statistics for Engineers,4,STAT
21,Measurement,2|20,STAT
22,Repeated Measurements,21,STAT
23,Range of Readings,22,STAT
24,Random Versus Systematic Error,23|21,STAT
25,Uncertainty Propagation,23|1,STAT
26,Instrument Resolution,21|3,STAT
27,Beam Deflection Measurement,8|22,ENG
28,Large Language Model,13|15,LLM
29,Tokens,28,LLM
30,Probability Basics,4,STAT
31,Next-Token Prediction,29|30,LLM
32,Sampling and Temperature,31,LLM
33,Prompts,28|11,LLM
34,Hallucination,31,LLM
35,Checking Output Against Source,34|12,VER
36,Data Sets and Variables,10|9,STAT
37,Mean,36|1,STAT
38,Variance,37,STAT
39,Standard Deviation,38,STAT
40,Coefficient of Variation,39|37|4,STAT
41,Sample Versus Population,36,STAT
42,Uncertainty From Spread,39|25,STAT
43,Concrete Cylinder Strength Data,36|7,ENG
44,AI Agent,28|33,AGT
45,Tool Use,44,AGT
46,Multi-Step Planning,44,AGT
47,Agent Action Loop,45|46,AGT
48,Context Window,29,LLM
49,Sensor Data Stream,36,DATA
50,Threshold Check,14|49,DATA
51,Agent-Drafted Inspection Flag,47|50,AGT
52,Distribution,36|30,STAT
53,Histogram,52|5,STAT
54,Normal Distribution,52|37|39,STAT
55,Skewed Distribution,52|37,STAT
56,Outliers,52|39,STAT
57,Fatigue Test Data,36|7,ENG
58,Auditing an Agent's Analysis,47|52|34,VER
59,AI Bias,15|16,BIAS
60,Training Data Bias,59|16,BIAS
61,Representative Sample,16|41,BIAS
62,Distribution Shift,52|60,BIAS
63,Out-of-Domain Use,62,BIAS
64,Damage Detection Model,17|16,ENG
65,Training Coverage Gap,64|61,BIAS
66,Scatter Plot,5|36,INF
67,Correlation Coefficient,66|39,INF
68,Linear Regression,67|1,INF
69,R-Squared,67|68,INF
70,Concrete Mix Design Variables,43,ENG
71,Multiple Regression,68|70,INF
72,Correlation Versus Causation,67,INF
73,Spurious Correlation,72|52,INF
74,Confounding Variable,72,INF
75,AI Overconfidence,34|31,BIAS
76,False Precision,3|75|26,BIAS
77,Model Calibration,75|30,BIAS
78,Predicted Fatigue Life,17|57,ENG
79,Precision Versus Accuracy,24|23,STAT
80,Statistical Basis for a Claim,39|76,BIAS
81,Random Sampling,41|30,INF
82,Sampling Variability,81|39,INF
83,Standard Error,82,INF
84,The t Multiplier,83|54,INF
85,Confidence Interval,37|83|84,INF
86,Confidence Level,85,INF
87,Statistical Significance,85|30,INF
88,P-Value,87,INF
89,Yield Strength From Coupons,7|36|85,ENG
90,Dashboard,5|36,DATA
91,Dashboard Metrics,90|37,DATA
92,Time Series Data,36|49,DATA
93,Agent-Built Report,47|90,AGT
94,Agent Autonomy,47,AGT
95,Human Review Checkpoint,94|58,AGT
96,Stale Data,92|90,DATA
97,Chart Type Selection,5|36,DATA
98,Axis Scales and Baselines,5,DATA
99,Logarithmic Scale,98|1,DATA
100,Misleading Charts,98|97,DATA
101,Critiquing AI-Generated Charts,100|93,DATA
102,Frequency of a Signal,92,DATA
103,Vibration Spectrum,102|92,ENG
104,Data Pipeline,36|47,DATA
105,Data Ingestion,104|49,DATA
106,Unit and Format Mismatch,105|2,DATA
107,Data Cleaning,36|56,DATA
108,Missing and Bad Data,107,DATA
109,Simple Engineering Model,6|7,ENG
110,Errors Through a Pipeline,104|25,DATA
111,Variables,1,CODE
112,Data Types,111,CODE
113,Functions in Code,111,CODE
114,Conditionals,111,CODE
115,Loops,114,CODE
116,Libraries and Imports,113,CODE
117,Reading Error Messages,113,CODE
118,AI Code Generation,28|113,CODE
119,Code as Predicted Text,31|118,CODE
120,Code Training Data,16|118,CODE
121,Plausible but Wrong Code,34|118,CODE
122,Python Script,113|116|112,CODE
123,Prompting for Code,33|118,CODE
124,Running a Script,122,CODE
125,Deflection Calculation Script,122|8,ENG
126,Vibe Coding,118|123,CODE
